station_id,metro_trips,Motivo no Destino e Zona de Origem -  residencia ,empregos,Viagens Diárias Atraídas por Motivo e Zona de Destino –Refeição,emprego Creditícios Financeiro,Funcionário Público,Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino - residencia ,Viagens Diárias Atraídas por Motivo e Zona de Destino – Lazer,emprego servicos -  Administração Pública,Viagens Diárias Atraídas por Motivo e Zona de Destino –assuntos Pessoais,renda até 2.640
17,62159.983669726455,67004.86213089417,43043.413185126214,238.62456821315362,728.0439813450004,917.8192616577609,22510.32524489426,1944.5143615229872,1202.02090437606,4667.842565561084,2870.221573334724
19,45547.915929238574,48675.96208108518,34123.23467001367,340.5705377187974,894.8633737373237,587.3275225954337,23101.29656543792,2357.5263634136636,702.9982113464774,4577.941741273169,2024.6008442162129
20,183656.8504184729,179618.7716728609,135455.83927668075,5483.399702394318,8166.461687513077,1876.7201752874068,39150.418289730645,12090.71587798782,1547.8783896227,6236.0277667114715,1617.47602296411
21,15550.196552360718,31071.44905872364,28171.50903641668,808.9060743810534,1369.8951566337796,80.60412346235415,11075.416865643574,1839.660542259222,152.94583353162352,1886.6377941318774,336.08682354441487
23,13449.798923852404,26358.911337177356,21663.537301445205,548.1244030241774,1502.4134136518483,437.61897668432454,5116.611487815164,1399.3682797181623,297.6722131653803,2801.2462230698534,328.5440741942895
24,7808.264328057599,14115.056509835882,10248.609003740494,101.80724482437812,0.0,108.5292687888369,22754.193286548547,1223.088235697963,0.0,1994.354254498909,5931.847765176868
25,14562.58995739581,31830.79425552527,25003.042350016058,1227.01708669165,527.6054644787682,176.47282194004057,24292.066083315032,4379.544226767651,107.5843530152877,2642.2532243596193,395.7071404548075
26,18506.137994374396,28773.50611537696,12891.863473969595,278.35328337179334,313.47827914605006,658.2240383912897,41221.912784893364,2591.088299921961,83.52855310989831,2988.932132044776,5381.433070217027
27,14225.621486647307,29545.908694675916,14315.106168518907,278.98475420055627,321.98873850767626,613.9649450000974,35055.257051232744,2958.739833524586,81.4577943358752,2701.24743413574,8120.089594868171
28,38010.48995641544,56177.02327242117,26626.443236368013,1021.7890418532821,95.03592948823365,480.12344809582606,26200.832662042365,6447.119619645796,284.69837855563975,3207.410095587989,2932.6229068477955
29,50219.31412981998,52953.22678859931,31294.523418912646,1741.2591896848273,745.5605350509783,511.4978481716319,23334.13362409416,4383.255840835419,435.18482702353515,4816.329809363274,208.4742579340023
31,53693.050421971726,66971.64951214328,51745.382814025754,2706.707400175116,4600.443914678525,4149.981962455613,18421.531203846007,4452.816909861601,867.4505860942336,3522.9080936206296,336.741277262904
32,21040.85699520199,27747.895110286598,16236.451030611915,309.4280169904386,1458.9077144035473,1110.1181581899561,16719.022307966618,2696.7913345051684,587.9430878337522,3327.517363618801,2126.1650291683904
35,16227.540513008242,34362.436615839804,12213.028736730394,304.04567163578287,0.7494858476422045,659.4627856624879,13559.352679307318,4969.944171855778,355.21208864343356,5875.824675727578,7644.4634079896605
37,65554.3917225494,60555.2979119806,41811.88514748577,1706.0181826098233,1244.4510885653033,3943.1982333014384,16335.057286740319,2786.21237492882,4835.278179276508,4065.796562384733,4014.872059336239
38,9718.028579523929,15583.57276291378,8771.888232795109,0.0,0.0,189.29943804124431,30829.20891160367,3288.465644542029,119.40698003306434,1361.03635789377,6518.948386051474
39,27507.928752127224,56611.72308775228,33438.991168366425,1426.849441753407,970.9391014754734,390.8438604203764,18172.229042372426,6694.505096694777,0.7301146291195216,4222.396937275273,312.8831891980517
41,51661.06018655764,69070.52717963782,59055.52847773735,3863.443723429014,8546.982074151394,858.5265579472908,13314.080949374735,6735.073653117748,1407.5135296859985,4894.7714702411895,265.3431609235384
42,11742.859939368429,27072.18226432283,14649.146553842249,301.16303293125327,131.06209788931955,164.20517096224418,28610.79358688192,1600.074012637071,36.02454910124837,2631.761873385495,8077.95011359191
43,41570.30041316918,68337.52315959039,60112.92092377666,3132.349476673732,4574.5212040719125,878.6264077547361,21495.32993486461,8294.273722935963,989.6113761312723,3573.8672016762503,137.87442865993899
45,10539.731760294015,23235.759922513054,12148.04299168891,362.93309077635365,394.20944060642535,583.5714243918867,28261.3011101998,1193.56923754641,177.9937743179181,1385.7599348778363,6070.02139115937
47,12902.599699620496,19371.087599299524,9576.41904215785,165.2440207666362,398.8834023483297,626.8696557789525,21215.119666910767,1281.2614088942491,357.25523563158015,3308.242719423744,5069.877687943348
48,139454.16734068794,153450.1268887139,97483.3495073482,6933.651238573883,6904.564394354123,6147.802307231768,57094.886378887015,16720.993929863915,5732.736397129047,10707.15260271952,2379.9050543084895
49,61992.4201269367,66267.6236828479,42191.629437120246,3495.397908239386,1014.923656504831,2546.62174586676,22874.395004383045,3508.273405229519,1370.4622509755466,4899.4020111417985,1067.2121817766647
51,28847.777142559964,37565.837552237375,23037.171630671884,443.24517784373245,2027.7456897632983,1921.7734860291703,22847.835284624674,3610.618656491692,1004.1940112039191,4556.410297748979,2774.504806755991
54,5651.252602368554,20314.211918827405,11475.499093083294,348.86383711615764,93.73172366423614,491.906561663713,20864.55610119565,2043.613344561259,304.26784960473896,2814.9350092196364,4051.8761304650398
55,7806.06787733929,11055.152864230637,7204.333289268085,0.0,0.0,425.63986754089547,28345.740109508602,2562.0508524554416,113.77228455149465,983.4355347148424,8010.703586116343
